TransactionID,CustomerID,Date,Amount
903974,5259,2025-01-07,1576.0
901763,5063,2025-12-16,13442.0
900813,5030,2025-07-27,9525.0
904137,5300,2025-09-21,3498.0
904727,5445,2025-04-22,3955.0
901060,5040,2025-06-08,8467.0
900739,5027,2025-11-19,13339.0
900565,5021,2025-06-08,14429.0
903433,5198,2025-02-23,6500.0
900797,5029,2025-03-04,15283.0
900058,5002,2025-04-30,10892.0
903641,5216,2025-06-10,3427.0
904754,5451,2025-06-26,3205.0
904613,5419,2025-07-01,2817.0
901584,5057,2025-02-22,15544.0
905064,5564,2024-08-06,1860.0
900998,5037,2025-10-28,17360.0
904160,5306,2025-08-02,3611.0
902134,5079,2025-04-18,15989.0
900930,5035,2025-12-02,14148.0
901268,5047,2025-08-23,8764.0
901070,5040,2025-07-14,9395.0
902285,5088,2025-08-28,5262.0
903512,5206,2025-04-14,6309.0
901657,5060,2025-10-10,16651.0
900833,5030,2025-06-13,15277.0
901092,5041,2025-09-20,19966.0
902463,5104,2025-11-04,7665.0
901736,5062,2025-05-10,17972.0
900094,5004,2025-12-19,13259.0
903402,5195,2025-02-18,7469.0
904384,5364,2025-02-11,2791.0
902083,5076,2025-03-20,17218.0
901186,5043,2025-05-14,18527.0
904301,5341,2025-01-03,2156.0
901057,5040,2025-11-05,10283.0
901270,5047,2025-08-26,8920.0
902001,5072,2025-12-06,18865.0
900870,5032,2025-11-13,18342.0
903261,5183,2025-08-11,7436.0
901207,5044,2025-02-08,9149.0
901778,5063,2025-03-30,9719.0
900024,5001,2025-02-07,13986.0
902994,5157,2025-06-25,3904.0
905122,5588,2025-01-17,2988.0
902442,5103,2025-05-01,7065.0
903887,5239,2025-09-17,3111.0
900022,5001,2025-02-04,16054.0
904225,5322,2025-01-16,1519.0
904619,5420,2025-11-18,1752.0
900440,5016,2025-11-01,15200.0
904621,5420,2025-01-08,2418.0
900112,5004,2025-10-02,9903.0
900501,5018,2025-11-07,17039.0
900982,5036,2025-06-19,14419.0
901183,5043,2025-02-03,11140.0
901241,5046,2025-06-16,16926.0
901454,5052,2025-10-15,8329.0
901879,5066,2025-05-10,16026.0
902009,5073,2025-08-14,8364.0
901298,5048,2025-03-20,11697.0
902427,5102,2025-12-02,4856.0
900809,5029,2025-02-16,11408.0
902800,5139,2025-10-04,7913.0
900214,5008,2025-11-06,8653.0
904524,5399,2024-12-09,3310.0
903961,5256,2025-09-13,1666.0
901045,5039,2025-08-11,19827.0
904145,5302,2025-04-06,3016.0
903357,5192,2025-01-16,4670.0
901037,5038,2025-05-03,8942.0
903671,5219,2025-06-28,3346.0
903738,5225,2025-04-02,5712.0
902695,5128,2025-08-30,6965.0
901124,5042,2025-01-18,12534.0
903569,5210,2025-03-11,5694.0
901301,5048,2025-04-02,11227.0
